                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7145,                 5.1276,                 4.3123,                0.00062,                0.04839,                0.00047,                0.00019,                 3.7275,                 5.3312,                 4.1591,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.9294,                 5.3055,                 4.2488,                0.00072,                0.04516,                 0.0005,                0.00022,                 3.7279,                 5.3317,                 4.1573,             0.00027965,             0.00027965,             0.00027965
                      3,                  3.933,                 5.1392,                 4.2117,                0.00075,                0.04839,                0.00047,                0.00018,                 3.7273,                 5.3213,                 4.1527,             0.00042198,             0.00042198,             0.00042198
                      4,                 3.8863,                 4.9137,                 4.1724,                0.00066,                0.04839,                0.00041,                0.00017,                 3.7255,                 5.2801,                 4.1449,             0.00056035,             0.00056035,             0.00056035
                      5,                 3.8012,                 4.9799,                 4.1286,                0.00041,                0.08065,                0.00034,                0.00012,                  3.713,                 5.1579,                 4.1234,             0.00069475,             0.00069475,             0.00069475
                      6,                 3.8621,                 4.7026,                 4.0957,                0.00041,                0.08065,                0.00032,                0.00012,                 3.6911,                 5.0605,                 4.0877,              0.0008252,              0.0008252,              0.0008252
                      7,                 3.6586,                 4.7953,                 4.0505,                0.00041,                0.06452,                0.00036,                0.00014,                 3.6756,                 4.9876,                 4.0583,             0.00095168,             0.00095168,             0.00095168
                      8,                 3.7651,                  4.861,                 3.9809,                0.00044,                0.06129,                0.00061,                0.00017,                 3.7042,                 5.0808,                  4.032,              0.0010742,              0.0010742,              0.0010742
                      9,                 3.5481,                 4.4804,                 3.8972,                 0.0004,                0.05806,                0.00032,                0.00011,                 3.7679,                 5.1546,                 4.1593,              0.0011928,              0.0011928,              0.0011928
                     10,                 3.6064,                 4.6235,                 3.8643,                0.00039,                0.05806,                0.00026,                  9e-05,                 3.8129,                 5.0744,                 4.2125,              0.0013074,              0.0013074,              0.0013074
                     11,                  3.627,                 4.6295,                   3.81,                0.00045,                0.05806,                0.00029,                 0.0001,                 3.8791,                 4.9917,                 4.4023,               0.001418,               0.001418,               0.001418
                     12,                  3.529,                 4.6316,                 3.6756,                0.00052,                0.05484,                0.00032,                0.00012,                 3.9021,                 5.2171,                 4.4019,               0.001425,               0.001425,               0.001425
